电影名称,评分,评价人数,简介
肖申克的救赎,9.7,0,暂无简介
霸王别姬,9.6,0,暂无简介
泰坦尼克号,9.5,0,暂无简介
阿甘正传,9.5,0,暂无简介
千与千寻,9.4,0,暂无简介
美丽人生,9.5,0,暂无简介
星际穿越,9.4,0,暂无简介
这个杀手不太冷,9.4,0,暂无简介
盗梦空间,9.4,0,暂无简介
楚门的世界,9.4,0,暂无简介
辛德勒的名单,9.5,0,暂无简介
忠犬八公的故事,9.4,0,暂无简介
海上钢琴师,9.3,0,暂无简介
疯狂动物城,9.3,0,暂无简介
三傻大闹宝莱坞,9.2,0,暂无简介
机器人总动员,9.3,0,暂无简介
放牛班的春天,9.3,0,暂无简介
无间道,9.3,0,暂无简介
控方证人,9.6,0,暂无简介
大话西游之大圣娶亲,9.2,0,暂无简介
熔炉,9.3,0,暂无简介
寻梦环游记,9.1,0,暂无简介
触不可及,9.3,0,暂无简介
教父,9.3,0,暂无简介
末代皇帝,9.3,0,暂无简介
当幸福来敲门,9.1,0,暂无简介
哈利·波特与魔法石,9.2,0,暂无简介
龙猫,9.2,0,暂无简介
活着,9.3,0,暂无简介
怦然心动,9.1,0,暂无简介
蝙蝠侠：黑暗骑士,9.2,0,暂无简介
指环王3：王者无敌,9.3,0,暂无简介
我不是药神,9.0,0,暂无简介
乱世佳人,9.3,0,暂无简介
飞屋环游记,9.1,0,暂无简介
让子弹飞,9.0,0,暂无简介
哈尔的移动城堡,9.1,0,暂无简介
十二怒汉,9.4,0,暂无简介
海蒂和爷爷,9.3,0,暂无简介
素媛,9.3,0,暂无简介
猫鼠游戏,9.1,0,暂无简介
天空之城,9.2,0,暂无简介
鬼子来了,9.3,0,暂无简介
摔跤吧！爸爸,9.0,0,暂无简介
少年派的奇幻漂流,9.1,0,暂无简介
钢琴家,9.3,0,暂无简介
指环王2：双塔奇兵,9.2,0,暂无简介
死亡诗社,9.2,0,暂无简介
大话西游之月光宝盒,9.0,0,暂无简介
何以为家,9.1,0,暂无简介
绿皮书,8.9,0,暂无简介
闻香识女人,9.1,0,暂无简介
大闹天宫,9.4,0,暂无简介
黑客帝国,9.1,0,暂无简介
指环王1：护戒使者,9.1,0,暂无简介
罗马假日,9.1,0,暂无简介
教父2,9.3,0,暂无简介
狮子王,9.1,0,暂无简介
天堂电影院,9.2,0,暂无简介
饮食男女,9.2,0,暂无简介
辩护人,9.2,0,暂无简介
本杰明·巴顿奇事,9.0,0,暂无简介
搏击俱乐部,9.0,0,暂无简介
美丽心灵,9.1,0,暂无简介
穿条纹睡衣的男孩,9.2,0,暂无简介
情书,8.9,0,暂无简介
哈利·波特与死亡圣器(下),9.0,0,暂无简介
两杆大烟枪,9.1,0,暂无简介
窃听风暴,9.2,0,暂无简介
音乐之声,9.1,0,暂无简介
功夫,8.9,0,暂无简介
西西里的美丽传说,8.9,0,暂无简介
哈利·波特与阿兹卡班的囚徒,9.0,0,暂无简介
阿凡达,8.8,0,暂无简介
看不见的客人,8.8,0,暂无简介
